emp_no,first_name,last_name,birth_date,from_date,to_date,title
24192,Giordano,Lorys,1956-04-06,1985-04-09,9999-01-01,Engineer
24210,Zhongwei,Ozeki,1959-05-15,1988-01-08,9999-01-01,Senior Staff
24216,Zine,Swick,1962-10-20,1986-03-20,9999-01-01,Engineer
24223,Leah,Waleschkowski,1961-01-19,1985-03-26,9999-01-01,Senior Engineer
24230,Sanjoy,Leivant,1960-01-24,1986-09-21,9999-01-01,Engineer
24241,Naftali,Doering,1960-01-17,1987-01-07,9999-01-01,Senior Staff
24244,Paddy,Vickson,1958-08-02,1988-10-24,9999-01-01,Engineer
24255,Serge,Boyle,1957-04-06,1985-05-25,9999-01-01,Senior Engineer
24268,Junsik,Bernardeschi,1959-04-04,1988-06-01,9999-01-01,Senior Engineer
24274,Palash,Highland,1962-05-24,1987-11-08,9999-01-01,Staff
24275,Fen,Lorch,1963-02-17,1986-01-19,9999-01-01,Engineer
24286,Holgard,Sifakis,1960-01-18,1986-03-05,9999-01-01,Senior Staff
24290,Chikako,Bernini,1956-09-04,1985-10-16,9999-01-01,Senior Staff
24291,Owen,Kobuchi,1964-11-17,1985-05-20,9999-01-01,Staff
24299,Ute,Cusworth,1960-04-03,1988-05-05,9999-01-01,Senior Engineer
24301,Stabislas,Worfolk,1957-04-30,1987-01-19,9999-01-01,Technique Leader
24306,Chinhyun,Picco,1956-11-15,1985-08-22,9999-01-01,Senior Engineer
24307,Berry,Tsukuda,1959-09-20,1988-11-24,9999-01-01,Staff
24311,Emdad,Naudin,1960-09-22,1985-05-10,9999-01-01,Senior Staff
24327,Jessie,Slobodova,1956-05-30,1986-11-25,9999-01-01,Technique Leader
24329,Toshimo,Schreiter,1958-05-19,1987-05-10,9999-01-01,Senior Engineer
24343,Uri,Baca,1961-09-30,1988-04-08,9999-01-01,Staff
24347,Mizuhito,Sommer,1957-12-17,1985-08-28,9999-01-01,Technique Leader
24348,Herb,Nannarelli,1962-07-26,1986-03-07,9999-01-01,Senior Staff
24376,Mokhtar,Rosaz,1958-05-11,1988-05-01,9999-01-01,Senior Engineer
24378,Mads,Argence,1962-01-07,1985-05-24,9999-01-01,Senior Engineer
24382,Patricio,Billingsley,1964-08-10,1987-05-14,9999-01-01,Senior Staff
24392,Jinpo,Borstler,1956-05-22,1985-03-17,9999-01-01,Senior Staff
24395,Odinaldo,Krohm,1964-11-20,1988-04-14,9999-01-01,Staff
24406,Mang,Bernatsky,1963-05-15,1985-08-22,9999-01-01,Staff
24407,Mahmut,Guenter,1957-01-18,1986-06-25,9999-01-01,Senior Engineer
24410,Morrie,Wossner,1964-06-30,1988-12-29,9999-01-01,Senior Staff
24414,Younwoo,Gewali,1958-12-22,1988-06-29,9999-01-01,Staff
24419,Xiaoshan,Assaf,1962-07-02,1988-02-18,9999-01-01,Senior Staff
24427,Jungsoon,Bashian,1962-03-06,1987-02-28,9999-01-01,Technique Leader
24438,Huiqun,Plessier,1963-04-13,1988-07-25,9999-01-01,Senior Engineer
24450,Tuval,Peron,1962-12-04,1987-06-29,9999-01-01,Engineer
24467,Hidefumi,Morton,1960-12-19,1985-04-09,9999-01-01,Senior Staff
24476,Ekawit,Spataro,1963-04-11,1988-03-09,9999-01-01,Engineer
24477,Rayond,Takkinen,1961-07-06,1987-08-29,9999-01-01,Engineer
24500,Marsja,Falster,1961-04-10,1987-06-12,9999-01-01,Staff
24501,Constantijn,Flanders,1960-01-02,1988-10-07,9999-01-01,Engineer
24510,Goh,Schonegge,1956-02-25,1986-03-13,9999-01-01,Senior Staff
24515,Nirmal,Pleszkun,1959-11-11,1988-08-23,9999-01-01,Engineer
24518,Arumugam,Ulupinar,1960-08-31,1988-09-13,9999-01-01,Senior Engineer
24520,Mohammed,Rosiles,1956-11-27,1985-12-09,9999-01-01,Senior Staff
24531,Luise,Emmerich,1959-04-29,1986-06-16,9999-01-01,Senior Engineer
24532,Sachin,Lores,1962-12-08,1985-02-25,9999-01-01,Senior Staff
24547,Marla,Potthoff,1960-03-28,1987-12-09,9999-01-01,Senior Engineer
24553,Anwar,Passafiume,1965-01-12,1987-01-30,9999-01-01,Staff
24562,Guoxiang,Krupka,1959-04-12,1985-05-23,9999-01-01,Staff
24576,Tommaso,Erde,1963-09-03,1988-12-23,9999-01-01,Staff
24578,Mani,Vigier,1963-12-10,1986-07-15,9999-01-01,Staff
24583,Aleksandar,Gerteisen,1959-02-20,1988-06-14,9999-01-01,Senior Engineer
24587,Elzbieta,Warwick,1962-05-02,1985-11-29,9999-01-01,Staff
24598,Stabislas,Binding,1958-01-22,1987-12-26,9999-01-01,Senior Staff
24601,Heejo,Mikschl,1961-07-13,1986-10-23,9999-01-01,Senior Engineer
24607,Golgen,Lagarias,1962-11-16,1986-04-11,9999-01-01,Senior Engineer
24609,Atilio,Sudbeck,1958-10-05,1988-02-02,9999-01-01,Senior Engineer
24611,Shigehiro,Rodier,1963-11-25,1986-01-08,9999-01-01,Senior Engineer
24616,Dmitry,Kawashimo,1964-02-21,1986-10-06,9999-01-01,Senior Engineer
24623,Jordanka,Beutelspacher,1958-05-22,1988-02-19,9999-01-01,Engineer
24626,Zhilian,Giarratana,1963-04-23,1986-11-23,9999-01-01,Senior Staff
24627,Sungwon,Nourani,1960-07-10,1987-12-27,9999-01-01,Senior Engineer
24639,Manibrata,Spataro,1959-03-08,1987-02-20,9999-01-01,Senior Engineer
24642,Ronghao,Conia,1958-05-29,1988-02-20,9999-01-01,Senior Engineer
24644,Ebru,Luft,1956-09-12,1987-01-23,9999-01-01,Senior Engineer
24648,Gao,Provine,1957-07-14,1985-11-03,9999-01-01,Senior Engineer
24655,Miquel,Yeung,1957-02-04,1988-07-21,9999-01-01,Senior Staff
24668,Shuky,Kranzdorf,1958-03-15,1985-09-12,9999-01-01,Technique Leader
24674,Karoline,Baranowski,1957-09-21,1988-12-28,9999-01-01,Senior Engineer
24675,Arumugam,Vieri,1964-10-06,1986-02-18,9999-01-01,Senior Staff
24681,Zhensheng,Aingworth,1962-10-17,1987-10-08,9999-01-01,Staff
24703,Richard,Vecchio,1964-02-01,1986-07-25,9999-01-01,Staff
24709,Yuuichi,Swab,1958-05-12,1986-04-26,9999-01-01,Senior Staff
24718,Shahar,Castellani,1957-12-21,1987-10-26,9999-01-01,Staff
24733,Cordelia,Zwicker,1958-04-30,1988-10-18,9999-01-01,Staff
24739,Feiyu,Comellas,1957-08-01,1986-12-31,9999-01-01,Senior Staff
24740,Kellyn,Penz,1959-08-06,1987-05-06,9999-01-01,Senior Staff
24743,Muneo,Azadmanesh,1960-10-30,1985-10-24,9999-01-01,Engineer
24745,Ingmar,Billingsley,1959-02-14,1988-11-03,9999-01-01,Engineer
24754,Shigeaki,Bahl,1960-12-21,1988-02-21,9999-01-01,Technique Leader
24759,Chaosheng,Sommen,1963-04-25,1985-02-02,9999-01-01,Senior Staff
24765,Aram,Rahier,1958-01-06,1985-06-04,9999-01-01,Senior Staff
24772,Gill,Malinowski,1963-07-30,1988-10-12,9999-01-01,Staff
24773,Younwoo,Ramsay,1958-11-05,1987-07-18,9999-01-01,Senior Staff
24780,Yakichi,Godskesen,1957-06-04,1988-04-29,9999-01-01,Senior Staff
24782,Gill,Nittel,1961-07-22,1988-08-15,9999-01-01,Senior Engineer
24786,Odysseas,Collavizza,1963-09-06,1985-06-05,9999-01-01,Senior Engineer
24791,Freyja,Ranka,1960-07-20,1988-07-05,9999-01-01,Senior Staff
24808,Torsten,Melichar,1959-01-22,1987-09-03,9999-01-01,Staff
24816,Peer,Sabnani,1959-03-31,1985-10-03,9999-01-01,Senior Staff
24836,Zhonghui,Rusterholz,1958-06-09,1988-01-11,9999-01-01,Senior Engineer
24843,Khosrow,Chenoweth,1964-11-28,1988-08-19,9999-01-01,Senior Engineer
24857,Jaideep,Rattan,1957-10-25,1987-09-19,9999-01-01,Engineer
24889,Luigi,Morris,1962-08-27,1985-02-09,9999-01-01,Staff
24904,Ulises,Ramsay,1961-01-23,1988-12-06,9999-01-01,Engineer
24907,Houman,Roccetti,1960-05-26,1985-07-22,9999-01-01,Engineer
24914,Gadiel,Zeilberger,1957-06-07,1987-10-18,9999-01-01,Senior Engineer
24920,Taiji,Lueh,1958-01-14,1985-04-29,9999-01-01,Engineer
24926,Toshimori,Gire,1959-09-07,1987-01-10,9999-01-01,Staff
24940,Richara,Butner,1958-10-20,1985-11-02,9999-01-01,Engineer
24947,Oscal,Fujisaki,1956-03-09,1986-12-10,9999-01-01,Senior Staff
24961,Ymte,Wuwongse,1960-12-09,1986-07-31,9999-01-01,Engineer
24978,Billie,Weiland,1957-09-14,1987-04-11,9999-01-01,Staff
24982,Weicheng,Lung,1957-08-21,1987-04-26,9999-01-01,Senior Engineer
24992,Ferdinand,Irland,1956-07-18,1985-07-07,9999-01-01,Senior Engineer
24996,Danai,Sommer,1957-05-07,1988-12-14,9999-01-01,Technique Leader
25001,Maris,Schaap,1959-03-05,1986-07-22,9999-01-01,Senior Staff
25031,Maya,Lanzelotte,1959-01-26,1988-12-07,9999-01-01,Engineer
25032,Wojceich,Atrawala,1962-03-25,1986-05-21,9999-01-01,Senior Staff
25043,Jixiang,Pelc,1963-09-23,1985-03-09,9999-01-01,Engineer
25044,Mototsugu,Gyorkos,1963-05-17,1986-05-22,9999-01-01,Staff
25048,Nirmal,Leivant,1958-06-08,1988-08-01,9999-01-01,Staff
25063,Jixiang,Polupanov,1956-04-24,1985-12-17,9999-01-01,Senior Staff
25071,Yolla,Jeansoulin,1963-12-07,1986-10-24,9999-01-01,Senior Engineer
25072,Takushi,Kalloufi,1958-10-30,1987-12-25,9999-01-01,Staff
25074,Goncalo,Ozeri,1957-07-14,1987-10-03,9999-01-01,Engineer
25077,Kenroku,Preusig,1960-07-14,1986-01-06,9999-01-01,Senior Engineer
25089,Takahiro,Flexer,1961-11-22,1985-04-06,9999-01-01,Senior Staff
25091,Josyula,Cronan,1964-07-11,1986-10-18,9999-01-01,Senior Engineer
25104,Radhia,Tagansky,1963-04-12,1987-11-22,9999-01-01,Staff
25109,Renny,Stellhorn,1961-12-02,1987-12-01,9999-01-01,Engineer
25129,Ingmar,Bridgland,1963-06-17,1988-11-06,9999-01-01,Senior Engineer
25141,Conrado,Rahier,1964-04-24,1985-08-07,9999-01-01,Staff
25148,Susanne,Kamble,1957-12-20,1987-12-01,9999-01-01,Senior Engineer
25149,Wonhee,Luks,1964-02-12,1987-01-14,9999-01-01,Staff
25155,Shushma,Benveniste,1962-10-31,1987-04-26,9999-01-01,Engineer
25160,Gianluca,Sevcikova,1960-01-12,1986-07-11,9999-01-01,Senior Engineer
25164,Khun,Bakhtari,1963-10-29,1985-03-10,9999-01-01,Senior Engineer
25169,Herb,Kadhim,1961-11-19,1988-04-16,9999-01-01,Senior Staff
25183,Feixiong,Naumovich,1961-09-12,1987-04-15,9999-01-01,Senior Staff
25186,Aruna,Farrag,1960-12-01,1987-03-27,9999-01-01,Senior Staff
25193,Frazer,Picco,1962-03-03,1986-05-26,9999-01-01,Staff
25199,Matt,Erman,1962-06-02,1985-10-03,9999-01-01,Staff
25205,Lokesh,Takkinen,1963-07-10,1985-02-02,9999-01-01,Senior Engineer
25214,Sreekrishna,Chiodo,1960-12-09,1985-02-18,9999-01-01,Staff
25221,Pintsang,Marakhovsky,1959-08-08,1986-04-08,9999-01-01,Senior Engineer
25227,Sorina,Bahk,1961-02-09,1985-09-19,9999-01-01,Engineer
25237,Monique,Lenart,1961-11-03,1987-08-17,9999-01-01,Engineer
25243,Abdelwaheb,Koblitz,1963-12-14,1988-08-10,9999-01-01,Senior Engineer
25245,Marco,Maierhofer,1956-05-29,1985-10-21,9999-01-01,Senior Engineer
25258,Jiang,Delaune,1964-10-15,1986-11-10,9999-01-01,Senior Staff
25260,Gao,Dolinsky,1964-12-06,1986-08-10,9999-01-01,Senior Staff
25278,Brigham,Zwicker,1958-11-25,1985-10-24,9999-01-01,Senior Staff
25300,Hilari,Murillo,1962-02-21,1985-08-09,9999-01-01,Engineer
25304,Geoffry,Velasco,1957-08-07,1987-03-04,9999-01-01,Engineer
25311,Huiqun,Barvinok,1959-12-13,1987-06-02,9999-01-01,Engineer
25316,Leen,Unni,1963-07-13,1988-11-08,9999-01-01,Engineer
25320,Nevin,Minakawa,1957-12-08,1985-09-17,9999-01-01,Engineer
25322,Alois,Litvinov,1961-05-26,1985-04-11,9999-01-01,Engineer
25326,Yonghong,Snedden,1962-08-31,1988-11-30,9999-01-01,Engineer
25348,Odysseas,Soicher,1962-10-18,1986-09-18,9999-01-01,Engineer
25359,Oscar,Birrer,1963-04-27,1986-09-28,9999-01-01,Engineer
25360,Martina,Kavvadias,1961-10-27,1988-04-30,9999-01-01,Senior Staff
25382,Sastry,Sadowski,1960-06-02,1987-05-27,9999-01-01,Staff
25398,Gully,Percebois,1956-01-27,1985-07-11,9999-01-01,Engineer
25413,Mart,Gopalakrishnan,1956-06-10,1986-03-08,9999-01-01,Engineer
25414,Leandro,Haraldson,1963-09-02,1987-12-09,9999-01-01,Senior Staff
25421,Yuping,Luon,1964-09-14,1985-09-28,9999-01-01,Senior Staff
25422,Xuejun,Standera,1956-04-03,1986-03-24,9999-01-01,Senior Engineer
25436,Horward,Steenbeek,1958-11-10,1985-02-06,9999-01-01,Senior Staff
25437,Xinyu,Eickenmeyer,1956-04-10,1986-10-23,9999-01-01,Senior Engineer
25447,Vishwani,Cichocki,1962-05-03,1988-09-20,9999-01-01,Staff
25454,Vasilii,Scharstein,1961-12-05,1987-03-18,9999-01-01,Senior Staff
25457,Pramod,Buchter,1962-09-11,1988-10-01,9999-01-01,Technique Leader
25460,Xumin,Prampolini,1962-03-02,1988-04-20,9999-01-01,Engineer
25469,Jinya,Anick,1962-12-28,1985-03-12,9999-01-01,Staff
25473,Hatem,Mitina,1958-09-19,1987-10-09,9999-01-01,Senior Engineer
25474,Sasan,Lyonns,1962-05-11,1988-05-29,9999-01-01,Senior Engineer
25482,Tsutomu,Thibadeau,1957-07-27,1985-05-23,9999-01-01,Senior Engineer
25489,Heon,Carrera,1956-02-06,1986-03-22,9999-01-01,Senior Staff
25490,Junsik,Raczkowsky,1964-09-17,1986-11-30,9999-01-01,Senior Staff
25528,Masato,Milicia,1962-02-15,1987-08-15,9999-01-01,Engineer
25530,Yinlin,Chimia,1964-08-17,1987-12-26,9999-01-01,Technique Leader
25534,Jongsuk,Cappelli,1962-03-08,1986-11-22,9999-01-01,Senior Staff
25542,Oksana,Schrooten,1963-07-10,1985-07-03,9999-01-01,Engineer
25556,Hausi,Crelier,1963-11-24,1985-04-27,9999-01-01,Staff
25560,Chinho,Rodier,1956-03-27,1987-07-21,9999-01-01,Technique Leader
25565,Guangming,Levergood,1960-12-24,1986-09-18,9999-01-01,Senior Staff
25574,Remzi,Whitcomb,1963-12-20,1986-04-27,9999-01-01,Engineer
25577,Tomokazu,Gihr,1963-08-10,1988-04-07,9999-01-01,Engineer
25607,Sajjan,Dulin,1956-08-04,1985-07-20,9999-01-01,Senior Engineer
25617,Sachio,Vuskovic,1957-07-07,1986-04-27,9999-01-01,Staff
25625,Jayson,Morrow,1958-10-31,1988-08-10,9999-01-01,Senior Staff
25626,Mariusz,Axelband,1963-11-08,1986-02-25,9999-01-01,Staff
25627,Oksana,Silva,1958-08-04,1986-04-08,9999-01-01,Staff
25631,Christoph,Pena,1963-09-18,1986-09-16,9999-01-01,Senior Engineer
25662,Arie,Schrift,1964-05-20,1987-02-24,9999-01-01,Staff
25674,Jacqueline,Kavvadias,1960-02-03,1985-07-06,9999-01-01,Staff
25676,Geoffry,Pramanik,1960-03-21,1985-06-26,9999-01-01,Senior Staff
25677,Eran,Hofmeyr,1963-12-02,1986-05-14,9999-01-01,Staff
25681,Weiru,Papastamatiou,1962-02-17,1987-05-17,9999-01-01,Engineer
25696,Akeno,Muntz,1958-11-02,1985-07-11,9999-01-01,Engineer
25699,Chanjung,Gecsel,1958-04-27,1986-03-16,9999-01-01,Staff
25701,Baziley,Pfau,1958-11-02,1986-05-20,9999-01-01,Senior Staff
25703,Xudong,Junot,1956-07-06,1988-05-26,9999-01-01,Senior Engineer
25710,Urs,Georgakopoulos,1958-05-30,1985-03-03,9999-01-01,Senior Engineer
25711,Eberhardt,Bergere,1956-01-31,1985-06-24,9999-01-01,Technique Leader
25714,Giordano,Skafidas,1957-07-19,1988-08-19,9999-01-01,Staff
25737,Pranas,Coors,1959-11-06,1988-02-07,9999-01-01,Senior Engineer
25745,Chinho,Rosaz,1956-07-25,1986-05-22,9999-01-01,Engineer
25750,Rosella,Clouatre,1959-09-13,1986-06-11,9999-01-01,Senior Engineer
25764,Arno,Wiegley,1960-04-25,1988-11-16,9999-01-01,Engineer
25769,Huai,Koyama,1963-04-11,1986-03-12,9999-01-01,Senior Engineer
25779,Weiyi,Ferriere,1956-07-16,1987-09-16,9999-01-01,Engineer
25782,True,Zielinski,1961-07-06,1987-10-02,9999-01-01,Senior Staff
25784,Valeska,Zeleznik,1962-10-05,1988-12-10,9999-01-01,Senior Staff
25796,Fun,Improta,1962-03-10,1985-05-26,9999-01-01,Senior Engineer
25803,Berto,Bahl,1964-06-01,1986-02-02,9999-01-01,Technique Leader
25805,Yurij,Moffat,1961-05-28,1988-12-15,9999-01-01,Senior Engineer
25818,Mohammad,Melski,1957-01-12,1988-08-30,9999-01-01,Staff
25826,Genevieve,Maliniak,1956-10-11,1986-09-08,9999-01-01,Senior Engineer
25836,Godehard,Kowalchuk,1961-07-20,1987-05-09,9999-01-01,Technique Leader
25844,Jeong,Hofmeyr,1957-09-29,1988-05-09,9999-01-01,Senior Staff
25853,Martien,Doering,1956-11-30,1986-08-17,9999-01-01,Senior Staff
25856,Shiv,Reghbati,1962-01-14,1988-02-29,9999-01-01,Staff
25872,Krister,Frolund,1956-08-21,1988-01-05,9999-01-01,Senior Engineer
25875,Lalit,Passino,1959-06-11,1986-03-02,9999-01-01,Assistant Engineer
25881,Sven,Pettis,1962-05-28,1986-06-03,9999-01-01,Senior Staff
25893,Phuoc,Bernatsky,1961-03-10,1986-10-01,9999-01-01,Engineer
25899,Huan,Nitsch,1963-09-27,1986-10-22,9999-01-01,Senior Staff
25921,Mabo,Biran,1958-01-27,1986-07-19,9999-01-01,Technique Leader
25923,Tru,Grandbois,1961-01-08,1986-01-16,9999-01-01,Senior Engineer
25924,Soenke,Argence,1957-08-11,1985-04-08,9999-01-01,Engineer
25925,Margo,Gaughan,1958-04-02,1987-11-11,9999-01-01,Senior Staff
25941,Hideo,Busillo,1964-12-13,1985-09-03,9999-01-01,Engineer
25945,Duke,Thimonier,1956-01-18,1985-04-24,9999-01-01,Assistant Engineer
25947,Shen,Swick,1958-11-12,1988-12-08,9999-01-01,Engineer
25951,Xuedong,Kilgore,1957-04-14,1987-11-23,9999-01-01,Technique Leader
25965,Sumant,Lung,1959-05-24,1986-07-25,9999-01-01,Staff
25991,Siddarth,Velardi,1964-07-29,1985-03-06,9999-01-01,Engineer
25995,Ramalingam,Leijenhorst,1958-10-07,1985-06-30,9999-01-01,Senior Engineer
25996,Hercules,Eiter,1956-11-08,1988-07-13,9999-01-01,Senior Staff
25997,Steen,Boreale,1964-06-14,1988-05-09,9999-01-01,Senior Staff
26023,Yonghoan,Dratva,1961-04-05,1986-03-29,9999-01-01,Senior Staff
26029,Changho,Wendorf,1957-07-13,1987-09-17,9999-01-01,Engineer
26040,Woody,Chachaty,1956-02-27,1988-08-23,9999-01-01,Senior Engineer
26045,Mamdouh,Butner,1959-01-20,1986-01-07,9999-01-01,Technique Leader
26051,Kayoko,Rosenbaum,1960-02-17,1988-09-06,9999-01-01,Staff
26054,Chrisa,Haldar,1963-03-27,1986-06-11,9999-01-01,Senior Engineer
26060,Ute,dAstous,1958-05-29,1988-06-24,9999-01-01,Senior Engineer
26082,Zine,Leslie,1963-06-13,1987-10-19,9999-01-01,Senior Staff
26094,Shahar,Chappelet,1960-03-29,1985-08-12,9999-01-01,Staff
26097,Bogdan,Heydon,1957-03-20,1986-08-03,9999-01-01,Staff
26101,Spyrose,Iwayama,1956-05-20,1985-02-06,9999-01-01,Senior Engineer
26115,Sudhanshu,Schwabacher,1961-08-13,1988-06-24,9999-01-01,Staff
26127,Mang,Plumb,1960-01-09,1988-09-22,9999-01-01,Technique Leader
26133,Teruyuki,Mondadori,1957-07-18,1988-02-20,9999-01-01,Senior Engineer
26135,Evgueni,Angiulli,1956-07-28,1988-07-19,9999-01-01,Engineer
26138,Jungsoon,Oaver,1962-04-14,1986-03-27,9999-01-01,Senior Engineer
26146,Zhiwei,Onuegbe,1963-12-20,1988-04-01,9999-01-01,Senior Engineer
26147,George,Wielonsky,1959-12-06,1985-05-17,9999-01-01,Senior Staff
26149,LiMin,Kalefeld,1959-01-29,1986-07-28,9999-01-01,Engineer
26152,Billur,Radhakrishnan,1963-09-21,1986-11-03,9999-01-01,Senior Staff
26154,Vincent,Hanabata,1960-01-28,1988-08-04,9999-01-01,Senior Staff
26167,Paraskevi,Syrotiuk,1956-10-10,1988-10-27,9999-01-01,Staff
26170,Fumino,Tiemann,1961-12-29,1988-09-26,9999-01-01,Engineer
26171,Shahaf,Klerer,1957-10-03,1986-03-05,9999-01-01,Technique Leader
26175,Sibyl,Rullman,1962-03-23,1985-08-17,9999-01-01,Senior Engineer
26176,Waiman,Garnier,1964-12-03,1985-08-29,9999-01-01,Senior Staff
26183,Berni,Zaccaria,1957-01-18,1987-08-19,9999-01-01,Engineer
26184,Shrikanth,Gammage,1957-03-15,1988-05-23,9999-01-01,Engineer
26196,Bokyung,Cannard,1962-12-03,1985-02-04,9999-01-01,Senior Engineer
26198,Qingxiang,Velardi,1961-09-19,1987-05-16,9999-01-01,Senior Engineer
26206,Akhilish,Koshino,1963-10-19,1985-12-13,9999-01-01,Senior Staff
26220,Murthy,Champarnaud,1962-01-30,1988-05-11,9999-01-01,Senior Staff
26223,Elzbieta,Pollacia,1959-03-09,1986-08-20,9999-01-01,Senior Staff
26233,Chandrasekaran,Masamoto,1958-10-23,1985-02-28,9999-01-01,Engineer
26240,Ramzi,Demri,1960-10-01,1987-05-28,9999-01-01,Engineer
26292,Fayez,Bruckman,1963-12-15,1988-12-14,9999-01-01,Engineer
26295,Shichao,Pietrzykowski,1961-05-22,1987-03-22,9999-01-01,Senior Engineer
26297,Aria,Angiulli,1959-12-06,1987-07-30,9999-01-01,Senior Staff
26301,Jamaludin,Zumaque,1960-12-30,1985-03-16,9999-01-01,Senior Engineer
26305,Ortrud,Junot,1956-06-26,1988-02-29,9999-01-01,Senior Staff
26318,Shin,Rotem,1964-11-26,1985-11-06,9999-01-01,Staff
26324,Nimmagadda,Wuwongse,1963-05-24,1987-04-24,9999-01-01,Engineer
26345,Sham,Vecchio,1961-04-28,1986-01-17,9999-01-01,Engineer
26347,Lakshmi,Speckmann,1963-10-19,1988-06-01,9999-01-01,Senior Engineer
26349,Along,Sommen,1960-03-22,1987-05-13,9999-01-01,Senior Engineer
26350,Yuchang,Iisaka,1961-08-22,1988-03-05,9999-01-01,Senior Engineer
26365,Hercules,Veevers,1962-02-25,1986-01-01,9999-01-01,Senior Staff
26368,Mikhail,Rissanen,1960-07-20,1988-12-23,9999-01-01,Engineer
26375,Kshitij,Chaudhuri,1956-09-06,1988-09-21,9999-01-01,Senior Staff
26376,Arco,Rande,1957-05-10,1986-01-11,9999-01-01,Senior Engineer
26377,Koichi,Chenney,1964-10-13,1986-04-30,9999-01-01,Staff
26381,Bogdan,Peng,1959-03-22,1985-06-17,9999-01-01,Senior Staff
26386,Kristine,Speel,1961-02-11,1987-09-09,9999-01-01,Staff
26387,Domenico,Chaudhury,1962-04-05,1986-04-09,9999-01-01,Senior Staff
26403,Aria,Skogmar,1962-04-29,1988-11-14,9999-01-01,Staff
26412,Kristinn,Uehara,1964-02-02,1985-05-16,9999-01-01,Assistant Engineer
26426,Gennady,Maquelin,1959-08-01,1988-11-02,9999-01-01,Engineer
26435,Sarita,Koprowski,1961-11-05,1986-03-20,9999-01-01,Staff
26452,Billur,Vecchio,1963-02-07,1988-07-20,9999-01-01,Staff
26453,Jacopo,Rosay,1956-03-19,1985-02-22,9999-01-01,Technique Leader
26454,Yongmin,Shackel,1959-01-18,1985-09-04,9999-01-01,Senior Staff
26456,Pradeep,Swick,1964-06-29,1985-07-03,9999-01-01,Senior Engineer
26457,Uinam,Bridgland,1962-04-19,1986-06-20,9999-01-01,Engineer
26458,Iara,Chaudhury,1959-01-19,1987-04-18,9999-01-01,Engineer
26479,Kellie,Demir,1961-03-16,1986-04-01,9999-01-01,Staff
26480,Flemming,Denis,1962-02-16,1988-03-20,9999-01-01,Senior Staff
26482,Sashi,Sewelson,1957-01-13,1985-09-22,9999-01-01,Staff
26487,Erzsebet,Piazza,1958-02-23,1986-06-12,9999-01-01,Engineer
26494,Unal,Ramras,1963-04-18,1985-03-27,9999-01-01,Assistant Engineer
26499,Xudong,Bondorf,1960-06-30,1985-07-18,9999-01-01,Senior Engineer
26524,Fay,Validov,1964-04-27,1987-09-03,9999-01-01,Senior Staff
26530,Denny,Murtagh,1960-04-19,1986-09-29,9999-01-01,Senior Staff
26539,Atilio,Marzano,1958-11-07,1987-11-07,9999-01-01,Senior Engineer
26558,Nechama,Trogemann,1959-11-20,1987-10-13,9999-01-01,Senior Engineer
26560,Greger,Anily,1959-01-20,1986-03-08,9999-01-01,Senior Engineer
26561,Susumu,Naudin,1963-01-03,1985-02-19,9999-01-01,Senior Engineer
26568,Xudong,Docker,1956-01-29,1985-03-26,9999-01-01,Engineer
26570,Radoslaw,Angelopoulos,1961-05-31,1986-11-17,9999-01-01,Senior Staff
26579,Kauko,Poulakidas,1959-07-07,1986-04-28,9999-01-01,Senior Engineer
26583,Guttorm,Papsdorf,1959-10-04,1987-05-19,9999-01-01,Senior Engineer
26591,Van,Lupu,1960-05-30,1988-04-04,9999-01-01,Senior Engineer
26594,Sudhanshu,Conta,1959-10-03,1985-04-12,9999-01-01,Staff
26601,Yishay,Marzano,1957-02-04,1985-09-26,9999-01-01,Technique Leader
26608,Caolyn,Savasere,1963-09-07,1985-07-18,9999-01-01,Senior Engineer
26618,Mooi,Selenyi,1958-04-23,1985-07-07,9999-01-01,Senior Staff
26631,Goh,Linnainmaa,1957-03-20,1985-02-05,9999-01-01,Staff
26637,Taizo,Eastman,1956-12-31,1987-04-30,9999-01-01,Senior Engineer
26662,Teiji,Kavanagh,1957-10-08,1988-06-24,9999-01-01,Staff
26672,Shaleah,Frezza,1957-12-05,1985-09-27,9999-01-01,Senior Staff
26678,Tran,Lunt,1964-08-26,1985-11-19,9999-01-01,Senior Staff
26685,Sudharsan,Brlek,1956-09-09,1988-07-31,9999-01-01,Senior Engineer
26703,Tua,Haddadi,1962-08-07,1988-10-31,9999-01-01,Senior Engineer
26705,Yonghong,Lorcy,1958-07-08,1987-02-24,9999-01-01,Senior Engineer
26724,Shuichi,Weedman,1964-10-16,1988-08-21,9999-01-01,Senior Engineer
26726,Stella,Hardjono,1960-02-20,1988-11-12,9999-01-01,Engineer
26749,Idoia,Iisaka,1956-05-27,1987-04-20,9999-01-01,Senior Staff
26768,Phillip,Zwicker,1964-11-16,1988-02-11,9999-01-01,Senior Engineer
26779,Yoshinari,Haddadi,1960-12-30,1988-11-20,9999-01-01,Assistant Engineer
26781,Yongmao,Guardalben,1959-08-13,1987-05-23,9999-01-01,Senior Staff
26786,Arnd,Plump,1958-05-02,1986-09-07,9999-01-01,Engineer
26787,Saddek,Gire,1963-12-14,1988-06-20,9999-01-01,Senior Engineer
26788,Zongyan,Dalphin,1965-01-25,1988-04-23,9999-01-01,Engineer
26793,Serap,Sidhu,1956-02-18,1988-12-25,9999-01-01,Engineer
